Element,  Z,   dZ,       a1,       a2,        a3,        a4,        a5,        b1,        b2,     b3,        b4,      b5
Sb5+,     51, -5,      0.377E+0, 0.588E+0, 0.122E+1,  0.118E+1,  0.244E+0,  0.151E+0, 0.812E+0, 0.240E+1, 0.527E+1, 0.119E+2
Te,       52, 0.0,     0.6947,   1.8690,   2.5356,    4.0013,    1.8955,    0.2459,   1.8542,   6.4411,   22.1730,  59.2206
I,        53, 0.0,     0.7047,   1.9484,   2.5940,    4.1526,    1.5057,    0.2455,   1.8638,   6.7639,   21.8007,  56.4395
I1+,      53, -1,      0.901E+0, 0.280E+1, 0.561E+1,  -0.869E+1, 0.126E+2,  0.312E+0, 0.259E+1, 0.141E+2, 0.344E+2, 0.395E+2
Xe,       54, 0.0,     0.6737,   1.7908,   2.4129,    4.2100,    1.7058,    0.2305,   1.6890,   5.8218,   18.3928,  47.2496
Cs,       55, 0.0,     1.2704,   3.8018,   5.6618,    0.9205,    4.8105,    0.4356,   4.2058,   23.4342,  136.7783, 171.7561
Cs1+,     55, -1,      0.587E+0, 0.140E+1, 0.187E+1,  0.348E+1,  0.167E+1,  0.200E+0, 0.138E+1, 0.412E+1, 0.130E+2, 0.318E+2
Ba,       56, 0.0,     0.9049,   2.6076,   4.8498,    5.1603,    4.7388,    0.3066,   2.4363,   12.1821,  54.6135,  161.9978
Ba2+,     56, -2,      0.733E+0, 0.205E+1, 0.230E+2,  -0.152E+3, 0.134E+3,  0.258E+0, 0.196E+1, 0.118E+2, 0.144E+2, 0.149E+2
La,       57, 0.0,     0.8405,   2.3863,   4.6139,    5.1514,    4.7949,    0.2791,   2.1410,   10.3400,  41.9148,  132.0204
La3+,     57, -3,      0.493E+0, 0.110E+1, 0.150E+1,  0.270E+1,  0.108E+1,  0.167E+0, 0.111E+1, 0.311E+1, 0.961E+1, 0.212E+2
Ce,       58, 0.0,     0.8551,   2.3915,   4.5772,    5.0278,    4.5118,    0.2805,   2.1200,   10.1808,  42.0633,  130.9893
Ce3+,     58, -3,      0.560E+0, 0.135E+1, 0.159E+1,  0.263E+1,  0.706E+0,  0.190E+0, 0.130E+1, 0.393E+1, 0.107E+2, 0.238E+2
Ce4+,     58, -4,      0.483E+0, 0.109E+1, 0.134E+1,  0.245E+1,  0.797E+0,  0.165E+0, 0.110E+1, 0.302E+1, 0.885E+1, 0.188E+2
Pr,       59, 0.0,     0.9096,   2.5313,   4.5266,    4.6376,    4.3690,    0.2939,   2.2471,   10.8266,  48.8842,  147.6020
Pr3+,     59, -3,      0.663E+0, 0.173E+1, 0.235E+1,  0.351E+0,  0.159E+1,  0.226E+0, 0.161E+1, 0.633E+1, 0.110E+2, 0.169E+2
Pr4+,     59, -4,      0.521E+0, 0.119E+1, 0.133E+1,  0.236E+1,  0.690E+0,  0.177E+0, 0.117E+1, 0.328E+1, 0.894E+1, 0.193E+2
Nd,       60, 0.0,     0.8807,   2.4183,   4.4448,    4.6858,    4.1725,    0.2802,   2.0836,   10.0357,  47.4506,  146.9976
Nd3+,     60, -3,      0.501E+0, 0.118E+1, 0.145E+1,  0.253E+1,  0.920E+0,  0.162E+0, 0.108E+1, 0.306E+1, 0.880E+1, 0.196E+2
Pm,       61, 0.0,     0.9471,   2.5463,   4.3523,    4.4789,    3.9080,    0.2977,   2.2276,   10.5762,  49.3619,  145.3580
Pm3+,     61, -3,      0.496E+0, 0.120E+1, 0.147E+1,  0.243E+1,  0.943E+0,  0.156E+0, 0.105E+1, 0.307E+1, 0.856E+1, 0.192E+2
Sm,       62, 0.0,     0.9699,   2.5837,   4.2778,    4.4575,    3.5985,    0.3003,   2.2447,   10.6487,  50.7994,  146.4179
Sm3+,     62, -3,      0.518E+0, 0.124E+1, 0.143E+1,  0.240E+1,  0.781E+0,  0.163E+0, 0.108E+1, 0.311E+1, 0.852E+1, 0.191E+2
Eu,       63, 0.0,     0.8694,   2.2413,   3.9196,    3.9694,    4.5498,    0.2653,   1.8590,   8.3998,   36.7397,  125.7089
Eu2+,     63, -2,      0.613E+0, 0.153E+1, 0.184E+1,  0.246E+1,  0.714E+0,  0.190E+0, 0.127E+1, 0.418E+1, 0.107E+2, 0.262E+2
