# Neutron scattering lengths: http://www.ncnr.nist.gov/resources/n-lengths/
# X-ray Form factor: ITC, p578
# Magnetic Form Factor: https://www.ill.eu/sites/ccsl/ffacts/ffactnode4.html
# Element weights and radii: http://en.wikipedia.org/wiki/List_of_elements_by_atomic_properties
# X-ray edges: From http://xdb.lbl.gov/Section1/Table_1-1.pdf
  Z Element Name           Coh_b    Inc_b      Nabs     Nscat    a1         b1         a2         b2         a3         b3         a4         b4         c          j0_A     j0_a     j0_B     j0_b     j0_C     j0_c     j0_D     Radii ValenceE Weight      K       L1      L2      L3      M1      M2      M3      M4      M5      N1      N2      N3
 38 Sr      Strontium      7.0200      nan     1.2800   6.2500  17.566300   1.556400   9.818400  14.098800   5.422000   0.166400   2.669400 132.376000   2.506400   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 200.000       2  87.620000  16.105   2.216   2.007   1.940   0.359   0.280   0.270   0.136   0.134   0.039   0.021   0.020
 39 Y       Yttrium        7.7500   1.1000     1.2800   7.7000  17.776000   1.402900  10.294600  12.800600   5.726290   0.125599   3.265880 104.354000   1.912130   0.5915  67.6081   1.5123  17.9004  -1.1130  14.1359   0.0080 180.000       2  88.905850  17.038   2.373   2.156   2.080   0.392   0.311   0.299   0.158   0.156   0.044   0.024   0.023
 40 Zr      Zirconium      7.1600      nan     0.1850   6.4600  17.876500   1.276180  10.948000  11.916000   5.417320   0.117622   3.657210  87.662700   2.069290   0.4106  59.9961   1.0543  18.6476  -0.4751  10.5400   0.0106 155.000       2  91.224000  17.998   2.532   2.307   2.223   0.430   0.344   0.330   0.181   0.179   0.051   0.029   0.027
 41 Nb      Niobium        7.0540  -0.1390     1.1500   6.2550  17.614200   1.188650  12.014400  11.766000   4.041830   0.204785   3.533460  69.795700   3.755910   0.3946  49.2297   1.3197  14.8216  -0.7269   9.6156   0.0129 145.000       1  92.906380  18.986   2.698   2.465   2.371   0.467   0.376   0.361   0.205   0.202   0.056   0.033   0.031
 42 Mo      Molybdenum     6.7150      nan     2.4800   5.7100   3.702500   0.277200  17.235600   1.095800  12.887600  11.004000   3.742900  61.658400   4.387500   0.1806  49.0568   1.2306  14.7859  -0.4268   6.9866   0.0171 145.000       1  95.960000  20.000   2.866   2.625   2.520   0.506   0.412   0.394   0.231   0.228   0.063   0.038   0.035
 43 Tc      Technetium     6.8000      nan    20.0000   6.3000  19.130100   0.864132  11.094800   8.144870   4.649010  21.570700   2.712630  86.847200   5.404280   0.1298  49.6611   1.1656  14.1307  -0.3134   5.5129   0.0195 135.000       1  98.000000  21.044   3.043   2.793   2.677   0.544   0.448   0.418   0.258   0.254   0.070   0.042   0.040
 44 Ru      Ruthenium      7.0300      nan     2.5600   6.6000  19.267400   0.808520  12.918200   8.434670   4.863370  24.799700   1.567560  94.292800   5.378740   0.1069  49.4238   1.1912  12.7417  -0.3176   4.9125   0.0213 130.000       1 101.070000  22.117   3.224   2.967   2.838   0.586   0.483   0.461   0.284   0.280   0.075   0.046   0.043
 45 Rh      Rhodium        5.8800      nan   144.8000   4.6000  19.295700   0.751536  14.350100   8.217580   4.734250  25.874900   1.289180  98.606200   5.328000   0.0976  49.8825   1.1601  11.8307  -0.2789   4.1266   0.0234 135.000       1 102.905500  23.220   3.412   3.146   3.004   0.628   0.521   0.496   0.312   0.307   0.081   0.051   0.047
 46 Pd      Palladium      5.9100      nan     6.9000   4.4800  19.331900   0.698655  15.501700   7.989290   5.295370  25.205200   0.605844  76.898600   5.265930   0.2003  29.3633   1.1446   9.5993  -0.3689   4.0423   0.0251 140.000      -1 106.420000  24.350   3.604   3.330   3.173   0.672   0.560   0.532   0.341   0.335   0.087   0.056   0.051
 47 Ag      Silver         5.9220      nan    63.3000   4.9900  19.280800   0.644600  16.688500   7.472600   4.804500  24.660500   1.046300  99.815600   5.179000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 160.000       1 107.868200  25.514   3.806   3.524   3.351   0.719   0.604   0.573   0.374   0.368   0.097   0.064   0.058
 48 Cd      Cadmium        4.8700      nan  2520.0000   6.5000  19.221400   0.594600  17.644400   6.908900   4.461000  24.700800   1.602900  87.482500   5.069400   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 155.000       2 112.411000  26.711   4.018   3.727   3.538   0.772   0.653   0.618   0.412   0.405   0.110   0.064   0.064
 49 In      Indium         4.0650      nan   193.8000   2.6200  19.162400   0.547600  18.559600   6.377600   4.294800  25.849900   2.039600  92.802900   4.939100   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 155.000       3 114.818000  27.940   4.238   3.938   3.730   0.827   0.703   0.665   0.451   0.444   0.123   0.073   0.073
 50 Sn      Tin            6.2250      nan     0.6260   4.8920  19.188900   5.830300  19.100500   0.503100   4.458500  26.890900   2.466300  83.957100   4.782100   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 145.000       4 118.710000  29.200   4.465   4.156   3.929   0.885   0.756   0.715   0.493   0.485   0.137   0.084   0.084
 51 Sb      Antimony       5.5700      nan     4.9100   3.9000  19.641800   5.303400  19.045500   0.460700   5.037100  27.907400   2.682700  75.282500   4.590900   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 145.000       5 121.760000  30.491   4.698   4.380   4.132   0.946   0.813   0.766   0.537   0.528   0.153   0.096   0.096
 52 Te      Tellurium      5.8000      nan     4.7000   4.3200  19.964400   4.817420  19.013800   0.420885   6.144870  28.528400   2.523900  70.840300   4.352000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 140.000       6 127.600000  31.814   4.939   4.612   4.341   1.006   0.871   0.820   0.583   0.573   0.169   0.103   0.103
 53 I       Iodine         5.2800   1.5800     6.1500   3.8100  20.147200   4.347000  18.994900   0.381400   7.513800  27.766000   2.273500  66.877600   4.071200   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 140.000       7 126.904470  33.169   5.188   4.852   4.557   1.072   0.931   0.875   0.631   0.619   0.186   0.123   0.123
 54 Xe      Xenon          4.9200   3.0400    23.9000      nan  20.293300   3.928200  19.029800   0.344000   8.976700  26.465900   1.990000  64.265800   3.711800   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 108.000       8 131.293000  34.561   5.453   5.107   4.786   1.149   1.002   0.941   0.689   0.676   0.213   0.147   0.145
